date,Close
2024-05-29,189.4042205810547
2024-05-30,190.39956665039062
2024-05-31,191.3551025390625
2024-06-01,191.3551025390625
2024-06-02,191.3551025390625
2024-06-03,193.12680053710938
2024-06-04,193.44532775878906
2024-06-05,194.95823669433594
2024-06-06,193.57470703125
2024-06-07,195.97349548339844
2024-06-08,195.97349548339844
2024-06-09,195.97349548339844
2024-06-10,192.22103881835938
2024-06-11,206.1857147216797
2024-06-12,212.07818603515625
2024-06-13,213.24273681640625
2024-06-14,211.50088500976562
2024-06-15,211.50088500976562
2024-06-16,211.50088500976562
2024-06-17,215.6614227294922
2024-06-18,213.29248046875
2024-06-19,213.29248046875
2024-06-20,208.7039337158203
2024-06-21,206.524169921875
2024-06-22,206.524169921875
2024-06-23,206.524169921875
2024-06-24,207.17112731933594
2024-06-25,208.0968017578125
2024-06-26,212.25733947753906
2024-06-27,213.1033935546875
2024-06-28,209.6395721435547
2024-06-29,209.6395721435547
2024-06-30,209.6395721435547
2024-07-01,215.74102783203125
2024-07-02,219.2446746826172
2024-07-03,220.5187225341797
2024-07-04,220.5187225341797
2024-07-05,225.28639221191406
2024-07-06,225.28639221191406
2024-07-07,225.28639221191406
2024-07-08,226.759521484375
2024-07-09,227.61549377441406
2024-07-10,231.89549255371094
2024-07-11,226.5106964111328
2024-07-12,229.46685791015625
2024-07-13,229.46685791015625
2024-07-14,229.46685791015625
2024-07-15,233.3088836669922
2024-07-16,233.7269287109375
2024-07-17,227.81459045410156
2024-07-18,223.13644409179688
2024-07-19,223.26585388183594
2024-07-20,223.26585388183594
2024-07-21,223.26585388183594
2024-07-22,222.91748046875
2024-07-23,223.9626007080078
2024-07-24,217.522705078125
2024-07-25,216.4776153564453
2024-07-26,216.94541931152344
2024-07-27,216.94541931152344
2024-07-28,216.94541931152344
2024-07-29,217.22410583496094
2024-07-30,217.78150939941406
2024-07-31,221.04623413085938
2024-08-01,217.3435516357422
2024-08-02,218.83657836914062
2024-08-03,218.83657836914062
2024-08-04,218.83657836914062
2024-08-05,208.2958526611328
2024-08-06,206.26535034179688
2024-08-07,208.8433074951172
2024-08-08,212.3170623779297
2024-08-09,215.23342895507812
2024-08-10,215.23342895507812
2024-08-11,215.23342895507812
2024-08-12,216.7680206298828
2024-08-13,220.4949493408203
2024-08-14,220.94334411621094
2024-08-15,223.93284606933594
2024-08-16,225.25819396972656
2024-08-17,225.25819396972656
2024-08-18,225.25819396972656
2024-08-19,225.0987548828125
2024-08-20,225.71656799316406
2024-08-21,225.60696411132812
2024-08-22,223.74349975585938
2024-08-23,226.04542541503906
2024-08-24,226.04542541503906
2024-08-25,226.04542541503906
2024-08-26,226.38421630859375
2024-08-27,227.2312469482422
